Resume_Text,Role
"Python TensorFlow Deep Learning NLP","ML Engineer"
"Machine Learning Python Scikit Learn Pandas","ML Engineer"
"Deep Learning CNN RNN TensorFlow","ML Engineer"
"AWS Docker Kubernetes Jenkins Linux","DevOps Engineer"
"Docker CI CD Terraform AWS","DevOps Engineer"
"Kubernetes Monitoring Linux Shell","DevOps Engineer"
"Kali Linux Wireshark Nmap Ethical Hacking","Cybersecurity Analyst"
"Penetration Testing BurpSuite Networking","Cybersecurity Analyst"
"SIEM SOC Cyber Forensics Security","Cybersecurity Analyst"
"SQL PowerBI Tableau Excel Analytics","Data Analyst"
"Data Visualization Excel SQL Reporting","Data Analyst"
"Business Analytics Statistics Dashboard","Data Analyst"
"Java Spring Boot APIs Backend","Backend Developer"
"Flask Django REST API Python","Backend Developer"
"NodeJS MongoDB Express Backend","Backend Developer"
"React HTML CSS JavaScript UI","Frontend Developer"
"Angular Bootstrap Web Design","Frontend Developer"
"Frontend UI UX React Tailwind","Frontend Developer"
"Cloud Computing Azure AWS Networking","Cloud Engineer"
"Linux Server DevOps Virtualization","Cloud Engineer"
"AWS EC2 S3 Lambda Cloud","Cloud Engineer"
"AI NLP Computer Vision Transformers","AI Researcher"
"Research Papers LLM Generative AI","AI Researcher"
"Neural Networks Deep Learning AI","AI Researcher"
"Database MySQL PostgreSQL Oracle","Database Administrator"
"Database Backup Recovery SQL","Database Administrator"
"Oracle DBA Performance Tuning","Database Administrator"
